department,focus_group_name,pain_point,expectations
DOCE,Permit/Commercial/Electrical Inspectors,,Use IPS when permit is pulled
DOCE,Permit/Commercial/Electrical Inspectors,Camino is internet based. I can’t issue certificate half of the times,
DOCE,Permit/Commercial/Electrical Inspectors,IPS was awful for RR when I used to do those,
DOCE,Permit/Commercial/Electrical Inspectors,Have to hand write my day going through 10 pages of inspections,
DOCE,Permit/Commercial/Electrical Inspectors,,(to keep) When you issue certificate of completion it emails the contractor/homeowner
DOCE,Permit/Commercial/Electrical Inspectors,,(to keep) Can upload pictures easily using the app
DOCE,Permit/Commercial/Electrical Inspectors,Camino’s layout format,
DOCE,Permit/Commercial/Electrical Inspectors,Seeing new/assigned work,
DOCE,Permit/Commercial/Electrical Inspectors,access,
DOCE,Permit/Commercial/Electrical Inspectors,,Get rid of it
DOCE,Permit/Commercial/Electrical Inspectors,,Get rid of it
DOCE,Permit/Commercial/Electrical Inspectors,,Get rid of it
DOCE,Permit/Commercial/Electrical Inspectors,,(to keep) layout
DOCE,Permit/Commercial/Electrical Inspectors,In camino not being able to keep track of tickle dates,
DOCE,Permit/Commercial/Electrical Inspectors,,Add a tickle date option to the system
DOCE,Permit/Commercial/Electrical Inspectors,I have no issues. I have adapted to it.,
DOCE,Permit/Commercial/Electrical Inspectors,,"(to keep) Again, being able to have future tickle dates"
DOCE,Permit/Commercial/Electrical Inspectors,,IPS works better than Camino
DOCE,Permit/Commercial/Electrical Inspectors,No coordination,
DOCE,Permit/Commercial/Electrical Inspectors,,Hiring qualified people and train them
DOCE,Permit/Commercial/Electrical Inspectors,,(to keep) Don't use it
DOCE,Supervisors,"Too many systems needed to check ownership, taxes, water, codes, permits, zoning history",
DOCE,Supervisors,Missing information / data (historical information),
DOCE,Supervisors,“Some historical data lost in fire/flooding/pipe burst”,
DOCE,Supervisors,Information not digital/in one place,
DOCE,Supervisors,,Consolidate /merge data and information
DOCE,Supervisors,,?
DOCE,Supervisors,,"Migration to one place (microfrch, scans, shared drives, etc.)"
DOCE,Supervisors,,Artificial Intelligence
DOCE,Supervisors,,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)"
DOCE,Supervisors,,Better reporting
DOCE,Supervisors,Multiple software programs and databases,
DOCE,Supervisors,,?
DOCE,Supervisors,Becomes cumbersome as volume of cases build,
DOCE,Supervisors,Becomes cumbersome as volume of cases build,
DOCE,Supervisors,,"(to keep) Case notes, photo upload"
DOCE,Supervisors,,"(to keep) Inspection dates, tickle dates"
DOCE,Supervisors,,Not sure.
DOCE,Supervisors,Inconsistent / lagging contact information,
DOCE,Supervisors,Parcel information not being in one central location,
DOCE,Supervisors,,?
DOCE,Supervisors,,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database."
DOCE,Supervisors,Research on multiple software,
DOCE,Supervisors,Historical information is missing,
DOCE,Supervisors,Too much collaborating on email (especially with projects),
DOCE,Supervisors,Currently no major concerns with IPS,
DOCE,Supervisors,Contractors find Camino very frustrating and then gets turned over to CPO and me – Demo Permits,
DOCE,Supervisors,,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated"
DOCE,Supervisors,IPS Software is unpredictable,
DOCE,Supervisors,,(to keep) Drop Box Function
DOCE,Supervisors,,(to keep) Votes section
DOCE,Supervisors,Too many places where information is stored,
DOCE,Supervisors,Special Knowledge needed to operate system,
DOCE,Supervisors,,Central software for all Code
DOCE,Supervisors,"Easy for cases, permits to get missed",
DOCE,Supervisors,,(to keep) Ease of use
DOCE,Zoning,Historical context / research scattered all over. “Finding all the history”,
DOCE,Zoning,Parcel based but not system of record tracking addressing/ownership,
DOCE,Zoning,Ownership chenges,
DOCE,Zoning,Re-subs,
DOCE,Zoning,Lot aleration,
DOCE,Zoning,History on “inactive parcels”,
DOCE,Zoning,,Data migration to one system for historical records.
DOCE,Zoning,,Digitization of all records timely
DOCE,Zoning,,Enterprise wide GIS system
DOCE,Zoning,Some are not,
DOCE,Zoning,,(to keep) Some old zoning projects are there.
DOCE,Zoning,,(to keep) SOCPA put old variance and conditional uses in IPS
DOCE,Zoning,,See notes from my code enforcement worksheet - Jake
DOCE,Zoning,Basement filling system (excel spreadsheet),
DOCE,Zoning,“gaps” in information,
DOCE,Zoning,,More regular updates to speadsheet
DOCE,Zoning,,"The items not on IPS or OnBase, if not in basement file, can’t be found"
DOCE,Zoning,"Sometimes, pdf or jpegs of documents will not be attached",
DOCE,Zoning,To an item in IPS a record of the item is there but not the file itself,
DOCE,Zoning,User interface is ugle,
DOCE,Zoning,,(to keep) Parcel history database is in chronological order
DOCE,Zoning,,"(to keep) Straightforward, easy to learn"
DOCE,Zoning,,More files uploaded / transferred to IPS
DOCE,Zoning,"IPS slowness, larger parcels have issues taking time to load",
DOCE,Zoning,Parcels broken into multiple pieces / units,
DOCE,Zoning,OnBase layout and windows often not very user-friendly,
DOCE,Zoning,Address tracking after resub division,
DOCE,Zoning,,(to keep) Direct file opening
DOCE,Zoning,CU apps – zoning review,
DOCE,Zoning,Late in process,
DOCE,Zoning,History searches take a significant amount of time,
DOCE,Zoning,Parcel history search,
DOCE,Zoning,Area / block searches lot,
DOCE,Zoning,,Change workflow
DOCE,Zoning,,Dedicated person
DOCE,Zoning,submenus are difficult to navigate – limited knowledge of system,
DOCE,Zoning,,(to keep) Searching for inactive parcel
DOCE,Zoning,,(to keep) filters
DOCE,Zoning,,Onboarding training (competative)
DOCE,Zoning,Answering repetitive phone calls,
DOCE,Zoning,,Making the code more accessible or encouraging email communications rather than calling
